giver_orig,giver,giver_wiki,giver_name,WikidataID
Australia's Institute of Police Management,Australia's Institute of Police Management,,Australia's Institute of Police Management,
"Professor Dr. Bernd Leil, Environmental Wind Tunnel Laboratory, Meteorological Institute of the University of Hamburg","Professor Bernd Leil, Environmental Wind Tunnel Laboratory, Meteorological Institute of the University of Hamburg",,Professor Bernd Leil,
The Prevention of and Fight Against Crime Program of the European Commission,The Prevention of and Fight Against Crime Program of the European Commission,,The Prevention of and Fight Against Crime Program of the European Commission,
"Dr. Mark Smith, Program Director of Wilton Park","Mark Smith, Program Director of Wilton Park",,Mark Smith,
"Ms. Andrea Torzani, Carabinieri of the Italian Republic","Andrea Torzani, Carabinieri of the Italian Republic",,Andrea Torzani,
Ministry of the Interior for Sports of the Federal Republic of Germany,Ministry of the Interior for Sports of the Federal Republic of Germany,,Ministry of the Interior for Sports of the Federal Republic of Germany,
"Mr. Kok Ping Soon, Senior Director of the National Security Coordination Center of the Republic of Singapore","Kok Ping Soon, Senior Director of the National Security Coordination Center of the Republic of Singapore",,Kok Ping Soon,
"Lieutenant Colonel Saleh Saeed Al Amoodi, Chief of the International Training Section, Training Department, General Directorate of Abu Dhabi Police","Lieutenant Colonel Saleh Saeed Al Amoodi, Chief of the International Training Section, Training Department, General Directorate of Abu Dhabi Police",,Saleh Saeed Al Amoodi,
Ministry of Interior of the State of Qatar,Ministry of Interior of the State of Qatar,,Ministry of Interior of the State of Qatar,
"Mr. Eric Huang, National Immigration Agency, Taiwan","Eric Huang, National Immigration Agency, Taiwan",,Eric Huang,
"His Excellency Muhammad al Issa, Minister of Justice of the Kingdom of Saudi Arabia","Muhammad al Issa, Minister of Justice of the Kingdom of Saudi Arabia",,Muhammad al Issa,
"Dr. Ali Bin Fatasis Al-Marri, Attorney General of the State of Qatar","Ali Bin Fatasis Al-Marri, Attorney General of the State of Qatar",,Ali Bin Fatasis Al-Marri,
"Colonel Mohamed Abdulaziz Al-Nassr, Security Attaché of the Embassy of the State of Qatar","Colonel Mohamed Abdulaziz Al-Nassr, Security Attaché of the Embassy of the State of Qatar",,Mohamed Abdulaziz Al-Nassr,
"The Right Honorable George Osborne, MP, Chancellor of the Exchequer of the United Kingdom of Great Britain and Northern Ireland","George Osborne, MP, Chancellor of the Exchequer of the United Kingdom of Great Britain and Northern Ireland",,George Osborne,
Ministry of the National Treasury of the Republic of Korea,Ministry of the National Treasury of the Republic of Korea,,Ministry of the National Treasury of the Republic of Korea,
Masa Israel Journey,Masa Israel Journey,,Masa Israel Journey,
"Mr. Fong Peng Keong, Director of the Pollution Control Department of the National Environment Agency of the Republic of Singapore","Fong Peng Keong, Director of the Pollution Control Department of the National Environment Agency of the Republic of Singapore",,Fong Peng Keong,
The European Environment Agency,The European Environment Agency,,The European Environment Agency,
"Health Canada, Pest Management Regulatory Agency","Health Canada, Pest Management Regulatory Agency",,Health Canada,
Beijing Municipal Bureau of Environmental Protection,Beijing Municipal Bureau of Environmental Protection,,Beijing Municipal Bureau of Environmental Protection,
Professor Lu Hongfang of the South China Botanical Garden of the Chinese Academy of Sciences,Professor Lu Hongfang of the South China Botanical Garden of the Chinese Academy of Sciences,,Professor Lu Hongfang of the South China Botanical Garden of the Chinese Academy of Sciences,
"Nuclear Spectrometry and Applications Laboratory of the Physics Section, Division of Physical and Chemical Sciences of the Department of Nuclear Sciences and Applications of the International Atomic Energy Agency","Nuclear Spectrometry and Applications Laboratory of the Physics Section, Division of Physical and Chemical Sciences of the Department of Nuclear Sciences and Applications of the International Atomic Energy Agency",,Nuclear Spectrometry and Applications Laboratory of the Physics Section,
Ministry of Finance of the Republic of Honduras,Ministry of Finance of the Republic of Honduras,,Ministry of Finance of the Republic of Honduras,
The French National Research Agency,The French National Research Agency,,The French National Research Agency,
"Department of Nuclear Energy, Division of Nuclear Fuel Cycle and Waste Technology of the International Atomic Energy Agency","Department of Nuclear Energy, Division of Nuclear Fuel Cycle and Waste Technology of the International Atomic Energy Agency",,Department of Nuclear Energy,
International Program on Chemical Safety of the World Health Organization,International Program on Chemical Safety of the World Health Organization,,International Program on Chemical Safety of the World Health Organization,
"Ms. Veroncia Zavala, General Manager of the Office of Strategic Planning and Development, Inter-American Development Bank","Veroncia Zavala, General Manager of the Office of Strategic Planning and Development, Inter-American Development Bank",,Veroncia Zavala,
"Ms. Mafalda Resende, Conference Secretariat of ANACOM of the Portuguese Republic","Mafalda Resende, Conference Secretariat of ANACOM of the Portuguese Republic",,Mafalda Resende,
"Mr. Ashish Narayan, Program Coordinator of the International Telecommuncations Union of the Kingdom of Thailand","Ashish Narayan, Program Coordinator of the International Telecommuncations Union of the Kingdom of Thailand",,Ashish Narayan,
"His Excellency Majid Sultan Almehairi, Executive Director, National Center for Documentation, Ministry of Presidential Affairs of the United Arab Emirates","Majid Sultan Almehairi, Executive Director, National Center for Documentation, Ministry of Presidential Affairs of the United Arab Emirates",,Majid Sultan Almehairi,
"Mr. Viktor Ivanov, Director of Federal Drug Control Service of the Russian Federation and Chairman of State Anti-Drug Committee","Viktor Ivanov, Director of Federal Drug Control Service of the Russian Federation and Chairman of State Anti-Drug Committee",,Viktor Ivanov,
"His Excellency Zandaakhuu Enkhbold, Chairman of the State Great Hural of Mongolia","Zandaakhuu Enkhbold, Chairman of the State Great Hural of Mongolia",,Zandaakhuu Enkhbold,
"Ms. Renée Krebs, Office of the Parliamentary Friendship Groups of the Federal Republic of Germany","Renée Krebs, Office of the Parliamentary Friendship Groups of the Federal Republic of Germany",,Renée Krebs,
"King Pu-tsung, Representative of the Taipei Economic and Cultural Representative Office in the United States","King Pu-tsung, Representative of the Taipei Economic and Cultural Representative Office in the United States",,King Pu-tsung,
"Mr. Karl-Michael Danzer, Head of Protocol, the Free State of Thuringia, the Federal Republic of Germany","Karl-Michael Danzer, Head of Protocol, the Free State of Thuringia, the Federal Republic of Germany",,Karl-Michael Danzer,
"His Excellency Felipe de Jesús Calderon, President of the United Mexican States","Felipe de Jesús Calderon, President of the United Mexican States",,Felipe de Jesús Calderon,
"His Highness Sheikh Hamad bin Khalifa al-Thani, Amir of the State of Qatar","Sheikh Hamad bin Khalifa al-Thani, Amir of the State of Qatar",,Sheikh Hamad bin Khalifa al-Thani,
"His Excellency Ricardo Martinelli Berrocal, President of the Republic of Panama","Ricardo Martinelli Berrocal, President of the Republic of Panama",,Ricardo Martinelli Berrocal,
Council of Traditional Chiefs and Kings of Cote d'Ivoire,Council of Traditional Chiefs and Kings of Cote d'Ivoire,,Council of Traditional Chiefs and Kings of Cote d'Ivoire,
"His Excellency Jose L. Cuisia, Jr., and Mrs. Maria Victoria J. Cuisia, Ambassador and Spouse of the Republic of the Philippines","Jose L. Cuisia, Jr., and Maria Victoria J. Cuisia, Ambassador and Spouse of the Republic of the Philippines",,Jose L. Cuisia,
"His Excellency Alpha Condé, President of the Republic of Guinea","Alpha Condé, President of the Republic of Guinea",,Alpha Condé,
"Her Excellency Fatou Danielle Diagne, Ambassador of the Republic of Senegal","Fatou Danielle Diagne, Ambassador of the Republic of Senegal",,Fatou Danielle Diagne,
"His Excellency Lee Myung-bak and Mrs. Kim Yoon-ok, President and First Lady of the Republic of Korea","Lee Myung-bak and Kim Yoon-ok, President and of the Republic of Korea",,Lee Myung-bak and Kim Yoon-ok,
"His Excellency Sebastián Piñera Echenique, President of the Republic of Chile","Sebastián Piñera Echenique, President of the Republic of Chile",,Sebastián Piñera Echenique,
Her Royal Highness Princess Haya bint Al-Hussein of the Hashemite Kingdom of Jordan,Princess Haya bint Al-Hussein of the Hashemite Kingdom of Jordan,,Princess Haya bint Al-Hussein of the Hashemite Kingdom of Jordan,
"Mr. Pat Gallagher, Offaly County Manager of Ireland","Pat Gallagher, Offaly County Manager of Ireland",,Pat Gallagher,
His Royal Highness The Prince of Wales,The Prince of Wales,,The Prince of Wales,
"His Excellency Nicolas Sarkozy and Mrs. Carla Bruni-Sarkozy, President and First Lady of the French Republic","Nicolas Sarkozy and Carla Bruni-Sarkozy, President and of the French Republic",,Nicolas Sarkozy and Carla Bruni-Sarkozy,
"Her Majesty Queen Margrethe II, Queen of Denmark and His Royal Highness Prince Henrik of Denmark","Queen Margrethe II, Queen of Denmark and Prince Henrik of Denmark",,Queen Margrethe II,
"His Excellency Tsakhiagiin Elbegdorj and Mrs. Khajidsuren Bolormaa, President and First Lady of Mongolia","Tsakhiagiin Elbegdorj and Khajidsuren Bolormaa, President and of Mongolia",,Tsakhiagiin Elbegdorj and Khajidsuren Bolormaa,
"His Excellency Hu Jintao and Mrs. Liu Yongqing, President and First Lady of the People's Republic of China","Hu Jintao and Liu Yongqing, President and of the People's Republic of China",,Hu Jintao and Liu Yongqing,
"Mrs. Margarita Zavala Gomez del Campo, First Lady of the United Mexican States","Margarita Zavala Gomez del Campo, of the United Mexican States",,Margarita Zavala Gomez del Campo,
"The Honorable Vicky Barahona Kunstmann, Mayor of Renca of the Republic of Chile","Vicky Barahona Kunstmann, Mayor of Renca of the Republic of Chile",,Vicky Barahona Kunstmann,
"Mrs. Cecilia Morel Montes, First Lady of the Republic of Chile","Cecilia Morel Montes, of the Republic of Chile",,Cecilia Morel Montes,
"Mrs. Nompumelelo Ntuli-Zuma, First Lady of the Republic of South Africa","Nompumelelo Ntuli-Zuma, of the Republic of South Africa",,Nompumelelo Ntuli-Zuma,
"Ali Bin Mohsen Fetais Al Marri, Attorney General of the State of Qatar","Ali Bin Mohsen Fetais Al Marri, Attorney General of the State of Qatar",,Ali Bin Mohsen Fetais Al Marri,
"His Excellency Sheikh Abdullah bin Khalid Al Thani, Minister of Interior of the State of Qatar","Sheikh Abdullah bin Khalid Al Thani, Minister of Interior of the State of Qatar",,Sheikh Abdullah bin Khalid Al Thani,
"Under Secretary Hakan Fidan, Director of the Turkish National Intelligence Organization","Under Secretary Hakan Fidan, Director of the Turkish National Intelligence Organization",,Under Secretary Hakan Fidan,
"Her Majesty Queen Elizabeth II Queen of United Kingdom of Great Britain and Northern Ireland and His Royal Highness Prince Phillip, Duke of Edinburgh","Queen Elizabeth II Queen of United Kingdom of Great Britain and Northern Ireland and Prince Phillip, Duke of Edinburgh",,Queen Elizabeth II Queen of United Kingdom of Great Britain and Northern Ireland and Prince Phillip,
"His Excellency Major General Morad Mowafy, Director of the Egyptian General Intelligence Service","Major General Morad Mowafy, Director of the Egyptian General Intelligence Service",,Morad Mowafy,
"Hu Wei-jen, NSC Secretary General of the Taiwan National Security Council of Taiwan","Hu Wei-jen, NSC Secretary General of the Taiwan National Security Council of Taiwan",,Hu Wei-jen,
"His Excellency Ruslan Kazakbaev, Minister of Foreign Affairs of the Kyrgyz Republic","Ruslan Kazakbaev, Minister of Foreign Affairs of the Kyrgyz Republic",,Ruslan Kazakbaev,
"His Highness Sheikh Hamad bin Khalifa Al-Thani, Amir of the State of Qatar","Sheikh Hamad bin Khalifa Al-Thani, Amir of the State of Qatar",,Sheikh Hamad bin Khalifa Al-Thani,
"The Honorable Namik Tan, Ambassador of Turkey to the United States","Namik Tan, Ambassador of Turkey to the United States",,Namik Tan,
"Ambassador Stefano Ronca, Chief of the Diplomatic Protocol of the Italian Republic","Ambassador Stefano Ronca, Chief of the Diplomatic Protocol of the Italian Republic",,Stefano Ronca,
"Gennadiy Sukhikh, Director of the Research Center for Obstetrics, Gynecology and Perinatology, Ministry of Healthcare and Social Development of the Russian Federation","Gennadiy Sukhikh, Director of the Research Center for Obstetrics, Gynecology and Perinatology, Ministry of Healthcare and Social Development of the Russian Federation",,Gennadiy Sukhikh,
"His Royal Highness Prince Philippe, Duke of Brabant and the Crown Prince of the Kingdom of Belgium","Prince Philippe, Duke of Brabant and the Crown Prince of the Kingdom of Belgium",,Prince Philippe,
Government of the United Kingdom of Great Britain and Northern Ireland,Government of the United Kingdom of Great Britain and Northern Ireland,,Government of the United Kingdom of Great Britain and Northern Ireland,
"His Excellency, Yusuf bin Alwai bin Adbullah, Minister Responsible for Foreign Affairs of Oman","Yusuf bin Alwai bin Adbullah, Minister Responsible for Foreign Affairs of Oman",,Yusuf bin Alwai bin Adbullah,
"His Excellency Foued M'bazza, Interim President of the Republic of Tunisia","Foued M'bazza, Interim President of the Republic of Tunisia",,Foued M'bazza,
"His Excellency Nguyen Quoc Cuong, Ambassador-Designate of the Socialist Republic of Vietnam","Nguyen Quoc Cuong, Ambassador-Designate of the Socialist Republic of Vietnam",,Nguyen Quoc Cuong,
Her Majesty Queen Elizabeth II of the United Kingdom of Great Britain and Northern Ireland,Queen Elizabeth II of the United Kingdom of Great Britain and Northern Ireland,,Queen Elizabeth II of the United Kingdom of Great Britain and Northern Ireland,
"His Excellency Alain Juppé, Minister of Foreign and European Affairs of the French Republic","Alain Juppé, Minister of Foreign and European Affairs of the French Republic",,Alain Juppé,
"His Excellency Kim Sung-hwan, Minister of Foreign Affairs and Trade of the Republic of Korea","Kim Sung-hwan, Minister of Foreign Affairs and Trade of the Republic of Korea",,Kim Sung-hwan,
"His Excellency Ekmeleddin Ihsanglu, Secretary General of the Organization of the Islamic Conference","Ekmeleddin Ihsanglu, Secretary General of the Organization of the Islamic Conference",,Ekmeleddin Ihsanglu,
